               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.10409,            0.026724,            0.016119,             0.34518,            0.022352,           0.0056663,           0.0022382,             0.12926,            0.015588,             0.02542,            0.006535,            0.006535,            0.006535
                  37,             0.10243,            0.028222,            0.015215,             0.46698,            0.024547,            0.013211,           0.0046966,             0.12529,            0.015851,            0.027791,            0.006436,            0.006436,            0.006436
                  38,             0.10119,            0.027486,            0.015371,             0.07216,            0.032291,            0.044382,            0.013818,             0.12862,            0.015713,            0.028114,            0.006337,            0.006337,            0.006337
                  39,             0.10135,            0.027018,            0.015164,             0.72624,            0.026416,            0.029079,            0.011541,             0.11487,            0.014757,            0.022571,            0.006238,            0.006238,            0.006238
                  40,            0.099904,             0.02775,            0.015246,            0.033742,            0.066322,            0.031348,            0.012022,             0.12166,            0.016292,            0.025357,            0.006139,            0.006139,            0.006139
                  41,             0.10025,            0.026699,             0.01469,              0.7214,            0.031943,            0.036398,            0.012034,             0.11223,            0.014015,            0.024548,             0.00604,             0.00604,             0.00604
                  42,             0.10025,            0.027417,            0.014323,             0.92361,            0.036947,            0.040361,            0.013936,              0.1131,            0.014051,            0.020679,            0.005941,            0.005941,            0.005941
                  43,            0.099971,            0.027083,             0.01442,             0.87113,            0.030212,            0.034439,            0.010386,             0.11323,            0.014759,            0.020016,            0.005842,            0.005842,            0.005842
                  44,            0.098549,            0.027669,            0.014079,             0.75135,            0.044726,            0.045709,            0.015538,              0.1089,            0.013701,            0.018404,            0.005743,            0.005743,            0.005743
                  45,            0.098757,            0.027938,            0.014547,             0.93638,             0.03804,            0.042035,            0.014942,             0.10988,            0.014847,             0.01964,            0.005644,            0.005644,            0.005644
                  46,            0.097169,            0.027244,            0.014333,              0.8133,             0.04172,            0.056761,            0.022607,             0.11169,             0.01437,            0.021665,            0.005545,            0.005545,            0.005545
                  47,            0.097059,            0.026753,            0.014019,             0.67437,            0.039301,            0.034892,            0.011619,             0.11504,            0.015477,            0.020028,            0.005446,            0.005446,            0.005446
                  48,             0.09619,            0.026965,            0.013959,             0.84539,            0.035283,            0.044353,            0.015456,             0.11231,            0.014475,            0.019025,            0.005347,            0.005347,            0.005347
                  49,            0.096958,            0.027503,            0.013192,             0.04455,            0.095943,            0.046517,            0.017412,             0.11345,            0.016081,            0.022173,            0.005248,            0.005248,            0.005248
                  50,            0.095751,            0.027742,            0.013518,            0.040278,             0.11975,             0.06007,            0.024725,             0.10889,            0.015232,            0.018958,            0.005149,            0.005149,            0.005149
                  51,            0.095816,            0.027086,            0.013342,             0.51779,            0.039767,             0.05221,            0.019293,             0.11037,            0.014303,             0.01879,             0.00505,             0.00505,             0.00505
                  52,            0.095376,            0.028277,            0.013274,              0.9423,            0.037552,            0.051702,             0.02009,             0.10891,            0.012084,            0.017869,            0.004951,            0.004951,            0.004951
                  53,             0.09443,            0.027357,            0.013114,             0.64191,            0.052877,            0.054552,            0.021342,             0.10896,            0.012767,            0.017863,            0.004852,            0.004852,            0.004852
                  54,            0.095165,            0.027167,            0.013206,             0.75181,            0.057296,            0.052613,            0.017894,             0.10819,            0.011776,             0.01618,            0.004753,            0.004753,            0.004753
                  55,            0.093861,            0.027227,            0.013248,             0.69721,            0.064208,            0.070634,            0.025096,              0.1054,            0.012552,            0.016636,            0.004654,            0.004654,            0.004654
                  56,            0.095136,             0.02771,             0.01294,             0.68858,            0.053083,            0.064234,             0.02534,             0.10773,            0.013554,            0.017869,            0.004555,            0.004555,            0.004555
                  57,            0.094104,            0.027124,            0.013192,             0.86379,            0.044163,            0.065177,            0.025123,             0.10614,            0.012911,              0.0192,            0.004456,            0.004456,            0.004456
                  58,            0.094237,            0.027228,            0.012799,            0.043792,             0.10302,            0.062749,            0.024872,              0.1102,            0.015098,            0.020079,            0.004357,            0.004357,            0.004357
                  59,            0.093166,            0.027421,            0.012753,            0.030341,             0.14111,            0.069444,            0.028287,             0.10914,            0.015034,            0.018297,            0.004258,            0.004258,            0.004258
                  60,             0.09305,             0.02751,             0.01249,            0.032901,             0.13318,            0.070153,            0.026649,              0.1123,            0.015477,            0.018992,            0.004159,            0.004159,            0.004159
                  61,            0.093015,            0.027896,            0.012477,             0.55402,            0.059191,            0.073011,            0.026745,             0.10374,            0.014223,            0.017832,             0.00406,             0.00406,             0.00406
                  62,            0.093806,            0.027486,            0.012303,             0.67612,            0.071374,             0.07036,            0.024461,             0.10364,            0.012613,            0.017704,            0.003961,            0.003961,            0.003961
                  63,            0.092437,            0.026821,            0.012009,              0.5532,            0.049243,             0.07027,            0.026049,              0.1066,             0.01481,            0.019533,            0.003862,            0.003862,            0.003862
                  64,              0.0907,            0.027638,            0.011872,            0.036996,             0.15311,            0.073762,            0.026529,             0.10647,            0.014273,            0.018438,            0.003763,            0.003763,            0.003763
                  65,            0.090702,            0.026673,            0.011639,            0.042114,             0.12725,            0.067833,             0.02593,             0.11142,            0.016372,            0.019176,            0.003664,            0.003664,            0.003664
                  66,            0.090874,            0.027618,            0.011676,             0.42795,            0.069913,            0.071338,            0.026522,              0.1086,            0.015178,            0.017215,            0.003565,            0.003565,            0.003565
                  67,            0.090604,            0.027325,            0.012052,             0.67249,            0.048289,            0.065898,            0.024289,             0.10945,            0.015064,             0.01792,            0.003466,            0.003466,            0.003466
                  68,             0.09188,            0.026399,            0.011398,            0.039508,             0.15212,            0.068484,            0.024184,             0.10912,            0.014355,            0.018933,            0.003367,            0.003367,            0.003367
                  69,            0.091362,            0.026891,            0.011434,             0.43866,            0.069747,            0.069695,            0.027926,             0.10945,            0.015404,             0.01882,            0.003268,            0.003268,            0.003268
                  70,            0.092101,            0.028147,            0.011499,             0.68543,             0.07009,            0.078741,            0.028613,             0.10402,            0.013907,            0.017783,            0.003169,            0.003169,            0.003169
                  71,            0.089063,            0.026604,              0.0112,             0.57778,            0.068979,            0.074142,            0.027554,              0.1042,              0.0136,            0.017788,             0.00307,             0.00307,             0.00307
                  72,            0.089123,            0.027206,            0.011416,             0.68752,            0.069709,            0.080329,            0.030899,              0.1031,             0.01314,             0.01702,            0.002971,            0.002971,            0.002971
                  73,            0.088822,            0.026631,            0.011339,             0.59532,            0.075339,            0.084452,            0.033676,             0.10218,            0.013619,            0.016556,            0.002872,            0.002872,            0.002872
                  74,            0.088766,            0.027622,             0.01127,             0.58812,             0.07543,            0.090001,            0.036315,             0.10048,            0.012226,            0.017265,            0.002773,            0.002773,            0.002773
                  75,            0.089013,            0.027658,            0.011014,             0.60027,            0.082268,            0.091143,            0.034015,             0.10141,            0.012284,            0.017246,            0.002674,            0.002674,            0.002674
                  76,            0.089038,            0.027056,            0.011015,             0.57385,            0.087067,              0.0942,            0.036723,             0.10048,            0.012516,            0.016699,            0.002575,            0.002575,            0.002575
                  77,            0.088867,            0.026614,            0.011083,              0.5882,            0.077468,            0.079825,            0.030354,             0.10352,            0.013997,             0.01789,            0.002476,            0.002476,            0.002476
                  78,            0.088393,            0.026743,            0.010737,             0.47011,            0.069206,            0.080051,            0.029904,             0.10338,             0.01401,            0.017997,            0.002377,            0.002377,            0.002377
                  79,            0.087592,            0.026813,            0.010422,             0.59772,            0.089994,            0.087553,            0.034366,            0.099854,            0.012337,            0.015983,            0.002278,            0.002278,            0.002278
                  80,             0.08577,            0.026476,            0.010723,             0.70853,            0.081799,            0.089044,            0.037373,            0.099595,             0.01303,            0.015264,            0.002179,            0.002179,            0.002179
                  81,            0.086586,            0.026512,            0.010555,             0.71592,            0.089219,            0.092385,            0.036023,             0.10066,            0.012853,             0.01528,             0.00208,             0.00208,             0.00208
                  82,            0.087707,            0.026998,            0.010733,             0.70971,            0.088501,            0.096203,            0.039576,            0.099819,            0.012787,            0.014884,            0.001981,            0.001981,            0.001981
                  83,            0.087357,            0.027491,             0.01026,             0.60748,            0.087543,            0.089536,            0.036325,             0.09984,            0.012765,            0.015331,            0.001882,            0.001882,            0.001882
                  84,            0.086744,            0.026556,            0.010996,             0.58724,            0.085828,            0.085528,            0.033497,            0.099378,            0.011696,            0.015727,            0.001783,            0.001783,            0.001783
