               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  33,             0.11122,            0.010822,            0.010158,             0.44499,            0.010567,          0.00030538,          6.9204e-05,             0.15327,           0.0022905,            0.018354,             0.00712,             0.00712,             0.00712
                  34,             0.11027,            0.010731,            0.010024,             0.88933,           0.0012192,          0.00027333,          6.4063e-05,             0.15275,           0.0023439,            0.017934,             0.00703,             0.00703,             0.00703
                  35,             0.10982,             0.01086,           0.0099087,             0.33388,            0.013574,          0.00028791,          7.1557e-05,             0.15265,           0.0023751,            0.017868,             0.00694,             0.00694,             0.00694
                  36,             0.10848,            0.010802,            0.009953,             0.44493,            0.011542,          0.00026425,          6.3103e-05,              0.1526,           0.0024327,             0.01711,             0.00685,             0.00685,             0.00685
                  37,             0.10767,            0.010882,           0.0097645,              0.6671,           0.0022759,          0.00043373,          0.00010359,             0.15224,           0.0024203,            0.017475,             0.00676,             0.00676,             0.00676
                  38,              0.1069,            0.010903,           0.0096981,             0.88953,           0.0010567,          0.00030592,          8.5199e-05,             0.15234,           0.0024323,            0.017483,             0.00667,             0.00667,             0.00667
                  39,             0.10664,            0.010959,           0.0096053,          0.00038227,            0.026915,           0.0002891,          8.4706e-05,             0.15205,           0.0024127,            0.017226,             0.00658,             0.00658,             0.00658
                  40,             0.10648,            0.010924,           0.0094827,             0.88951,           0.0013818,          0.00029254,          8.0334e-05,              0.1525,           0.0023768,            0.017873,             0.00649,             0.00649,             0.00649
                  41,             0.10511,            0.010936,           0.0094089,          0.00039302,            0.027159,          0.00028425,          7.4677e-05,             0.15255,           0.0024054,            0.017287,              0.0064,              0.0064,              0.0064
                  42,             0.10448,            0.010916,           0.0092766,           0.0003838,            0.026183,          0.00027185,           6.727e-05,             0.15311,           0.0024191,            0.017035,             0.00631,             0.00631,             0.00631
                  43,             0.10414,            0.011057,            0.009328,          0.00042119,            0.027971,          0.00032066,          8.4306e-05,              0.1524,           0.0024874,            0.017375,             0.00622,             0.00622,             0.00622
                  44,             0.10304,            0.010977,           0.0092671,          0.00040259,            0.026996,          0.00030492,          7.7539e-05,             0.15205,           0.0024785,            0.017304,             0.00613,             0.00613,             0.00613
                  45,             0.10252,            0.011009,           0.0092167,          0.00041524,            0.027159,          0.00034997,          9.3065e-05,             0.15229,           0.0024802,             0.01745,             0.00604,             0.00604,             0.00604
                  46,             0.10195,            0.010968,           0.0091316,           0.0004493,            0.027728,          0.00035637,          8.3334e-05,             0.15247,           0.0024973,            0.017546,             0.00595,             0.00595,             0.00595
                  47,             0.10133,             0.01094,           0.0091736,          0.00038906,            0.024476,          0.00027768,          6.8131e-05,              0.1527,           0.0025682,            0.017181,             0.00586,             0.00586,             0.00586
                  48,             0.10093,            0.011101,           0.0091729,          0.00036921,            0.023907,          0.00026289,          6.2759e-05,             0.15329,           0.0025797,            0.017158,             0.00577,             0.00577,             0.00577
                  49,             0.10038,             0.01103,           0.0089759,          0.00038922,            0.024233,          0.00027757,          6.5423e-05,             0.15325,           0.0026032,            0.017244,             0.00568,             0.00568,             0.00568
                  50,            0.099723,             0.01101,            0.009015,          0.00040063,            0.024233,          0.00026139,          6.4906e-05,             0.15342,           0.0025558,            0.017337,             0.00559,             0.00559,             0.00559
                  51,            0.099373,            0.011096,           0.0089611,           0.0003829,            0.023013,          0.00026415,          6.7889e-05,             0.15357,           0.0025242,             0.01778,              0.0055,              0.0055,              0.0055
                  52,            0.098929,            0.010982,           0.0087649,          0.00042114,            0.024883,           0.0003114,          7.2076e-05,             0.15347,            0.002578,             0.01775,             0.00541,             0.00541,             0.00541
                  53,            0.098889,            0.011045,           0.0087703,             0.77875,           0.0021946,          0.00029891,          5.8117e-05,             0.15368,           0.0025494,            0.017808,             0.00532,             0.00532,             0.00532
                  54,            0.098275,            0.011031,           0.0086723,             0.66766,           0.0026823,          0.00031631,          5.9565e-05,             0.15344,           0.0026848,            0.017078,             0.00523,             0.00523,             0.00523
                  55,            0.097427,            0.010959,           0.0087052,             0.66763,           0.0045517,          0.00033054,          6.7916e-05,             0.15374,           0.0026451,            0.017027,             0.00514,             0.00514,             0.00514
                  56,            0.096352,            0.011061,           0.0086527,             0.77875,            0.002601,          0.00033404,          6.6523e-05,             0.15336,           0.0026455,            0.017188,             0.00505,             0.00505,             0.00505
                  57,            0.096389,            0.010992,           0.0085422,             0.55646,            0.005202,          0.00031379,          6.3764e-05,             0.15361,           0.0026545,            0.017385,             0.00496,             0.00496,             0.00496
                  58,            0.095863,            0.010955,           0.0085212,             0.77846,           0.0018695,          0.00030684,          6.7313e-05,             0.15358,           0.0026998,             0.01713,             0.00487,             0.00487,             0.00487
